Date,Meal,Food,Weekday
"Tuesday, March 12, 2019",Breakfast,Strawberry Sauce,
"Tuesday, March 12, 2019",Breakfast,Whipped Topping,
"Monday, March 11, 2019",Dinner,Pork Stew,
"Monday, March 11, 2019",Dinner,Shrimp with Fettucini,
"Monday, March 11, 2019",Dinner,Spicy Tofu with Green Beans,
"Monday, March 11, 2019",Dinner,Wheat Berry and Vegetable Pilaf,
"Monday, March 11, 2019",Dinner,Steamed Snowpeas,
"Monday, March 11, 2019",Dinner,Vegetables with Garlic,
"Monday, March 11, 2019",Dinner,Moroccan Scented Baked Beans,
"Monday, March 11, 2019",Dinner,Chopped Scallions,
"Monday, March 11, 2019",Dinner,Diced Red Onions,
"Monday, March 11, 2019",Dinner,Goat Cheese,
"Monday, March 11, 2019",Dinner,Pomegranate Dressing,
"Monday, March 11, 2019",Dinner,Red Quinoa,
"Monday, March 11, 2019",Dinner,Roasted Butternut Squash,
"Monday, March 11, 2019",Dinner,Sauteed Kale,
"Monday, March 11, 2019",Dinner,Seasoned Edamame Beans,
"Monday, March 11, 2019",Lunch,BBQ Chicken,
"Monday, March 11, 2019",Lunch,French Bread Cuban Pizza,
"Monday, March 11, 2019",Lunch,Dirty Rice,
"Monday, March 11, 2019",Lunch,Maple Roasted Beets,
"Monday, March 11, 2019",Lunch,Steamed Whole Green Beans,
"Monday, March 11, 2019",Lunch,Mediterranean Split Pea,
"Monday, March 11, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Monday, March 11, 2019",Breakfast,Sliced Ham,
"Monday, March 11, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Monday, March 11, 2019",Breakfast,Cheddar Cheese,
"Monday, March 11, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Monday, March 11, 2019",Breakfast,Hummus,
"Monday, March 11, 2019",Breakfast,Assorted Mini Danish,
"Monday, March 11, 2019",Breakfast,Blueberries,
"Monday, March 11, 2019",Breakfast,Malted Belgian Waffles,
"Monday, March 11, 2019",Breakfast,Multi-Grain Waffles,
"Monday, March 11, 2019",Breakfast,Pancake Syrup,
"Monday, March 11, 2019",Breakfast,Steel Cut Oatmeal,
"Monday, March 11, 2019",Breakfast,Strawberry Sauce,
"Monday, March 11, 2019",Breakfast,Whipped Topping,
"Sunday, March 10, 2019",Dinner,Chicken Parmesan,
"Sunday, March 10, 2019",Dinner,Pork Sausage with Peppers & Onions,
"Sunday, March 10, 2019",Dinner,Vegetable Lasagna,
"Sunday, March 10, 2019",Dinner,Linguine,
"Sunday, March 10, 2019",Dinner,Sauteed Mixed Fresh Vegetables,
"Sunday, March 10, 2019",Dinner,Saut�ed Zucchini with Basil Pesto,
"Sunday, March 10, 2019",Dinner,"Roasted Corn, Poblano and White Bean with Cilantro",
"Sunday, March 10, 2019",Dinner,Banana,
"Sunday, March 10, 2019",Dinner,Butterscotch Topping,
"Sunday, March 10, 2019",Dinner,Caramel Dessert Sauce,
"Sunday, March 10, 2019",Dinner,Chocolate Chips,
"Sunday, March 10, 2019",Dinner,Hot Fudge,
"Sunday, March 10, 2019",Dinner,Lactaid Ice Cream,
"Sunday, March 10, 2019",Dinner,Maraschino Cherry Halves,
"Sunday, March 10, 2019",Dinner,Rainbow Jimmies,
"Sunday, March 10, 2019",Dinner,Richardson's Ice Cream,
"Sunday, March 10, 2019",Dinner,Whipped Topping,
"Sunday, March 10, 2019",Dinner,Baguette,
"Sunday, March 10, 2019",Dinner,White Round Country Loaf,
"Sunday, March 10, 2019",Dinner,Whole Grain Bread,
"Sunday, March 10, 2019",Lunch,Assorted Bagels,
"Sunday, March 10, 2019",Lunch,Dutch Apple Pancakes,
"Sunday, March 10, 2019",Lunch,"Fruit, Grapefruit",
"Sunday, March 10, 2019",Lunch,Garden Cream Cheese,
"Sunday, March 10, 2019",Lunch,Harvard Fruit Salad,
"Sunday, March 10, 2019",Lunch,Lyonnaise Potatoes,
"Sunday, March 10, 2019",Lunch,Multigrain Penne Chicken Broccoli Alfredo,
"Sunday, March 10, 2019",Lunch,Pork Sausage Pattie,
"Sunday, March 10, 2019",Lunch,Scrambled Cage Free Eggs,
"Sunday, March 10, 2019",Lunch,Smoked Salmon Platter,
"Sunday, March 10, 2019",Lunch,Steamed Broccoli,
"Sunday, March 10, 2019",Lunch,Strawberry Cream Cheese,
"Sunday, March 10, 2019",Lunch,White Bean Stew,
"Sunday, March 10, 2019",Lunch,Whole Wheat Blueberry Muffin,
"Sunday, March 10, 2019",Lunch,Blueberries,
"Sunday, March 10, 2019",Lunch,Malted Belgian Waffles,
"Sunday, March 10, 2019",Lunch,Multi-Grain Waffles,
"Sunday, March 10, 2019",Lunch,Pancake Syrup,
"Sunday, March 10, 2019",Lunch,Steel Cut Oatmeal,
"Sunday, March 10, 2019",Lunch,Strawberry Sauce,
"Sunday, March 10, 2019",Lunch,Whipped Topping,
"Saturday, March 9, 2019",Dinner,Breaded and Baked Pork Chops,
"Saturday, March 9, 2019",Dinner,General Gao's Chicken,
"Saturday, March 9, 2019",Dinner,"Portobello Mushroom with Quinoa, Squash & Edamame Stuffing",
"Saturday, March 9, 2019",Dinner,Brown Rice,
"Saturday, March 9, 2019",Dinner,Roasted Eggplant with Chinese 5-Spice,
"Saturday, March 9, 2019",Dinner,Steamed Local Seasonal Squash,
"Saturday, March 9, 2019",Dinner,Applesauce,
"Saturday, March 9, 2019",Dinner,Lentils with Roasted Apples and Shallots,
"Saturday, March 9, 2019",Dinner,Cilantro,
"Saturday, March 9, 2019",Dinner,Crumbled Chorizo Sausage,
"Saturday, March 9, 2019",Dinner,"Dressing, Blue Cheese",
"Saturday, March 9, 2019",Dinner,Nacho Cheese Sauce,
"Saturday, March 9, 2019",Dinner,Pico De Gallo Sauce,
"Saturday, March 9, 2019",Dinner,Roasted Corn & Black Beans,
"Saturday, March 9, 2019",Dinner,Sliced Jalapeno Peppers,
"Saturday, March 9, 2019",Dinner,Sweet Potato  Tots,
"Saturday, March 9, 2019",Dinner,Tater Tots,
"Saturday, March 9, 2019",Dinner,Vegetarian Taco Crumbles,
"Saturday, March 9, 2019",Dinner,Western Style Guacamole,
"Saturday, March 9, 2019",Lunch,Grilled Chicken,
"Saturday, March 9, 2019",Lunch,Spicy Chicken with Chilies,
"Saturday, March 9, 2019",Lunch,Egg & Cheese Croissant,
"Saturday, March 9, 2019",Lunch,Shredded Hashbrowns,
"Saturday, March 9, 2019",Lunch,Chefs Choice,
"Saturday, March 9, 2019",Lunch,Steamed Carrots,
"Saturday, March 9, 2019",Lunch,Homemade Refried Beans,
"Saturday, March 9, 2019",Lunch,Cage-Free Egg Whites,
"Saturday, March 9, 2019",Lunch,Diced Fresh Tomatoes,
"Saturday, March 9, 2019",Lunch,Diced Onions,
"Saturday, March 9, 2019",Lunch,Diced Peppers,
"Saturday, March 9, 2019",Lunch,Scrambled Cage Free Eggs,
"Saturday, March 9, 2019",Lunch,Shredded Yellow Cheddar Cheese,
"Saturday, March 9, 2019",Lunch,Sliced Mushrooms,
"Saturday, March 9, 2019",Breakfast,Bacon,
"Saturday, March 9, 2019",Breakfast,Cage Free Eggs Cooked to Order,
"Saturday, March 9, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Saturday, March 9, 2019",Breakfast,Scrambled Cage Free Eggs,
"Saturday, March 9, 2019",Breakfast,Cinnamon Coffee Cake Muffin,
"Saturday, March 9, 2019",Breakfast,Blueberries,
"Saturday, March 9, 2019",Breakfast,Malted Belgian Waffles,
"Saturday, March 9, 2019",Breakfast,Multi-Grain Waffles,
"Saturday, March 9, 2019",Breakfast,Pancake Syrup,
"Saturday, March 9, 2019",Breakfast,Steel Cut Oatmeal,
"Saturday, March 9, 2019",Breakfast,Strawberry Sauce,
"Saturday, March 9, 2019",Breakfast,Whipped Topping,
"Friday, March 8, 2019",Dinner,Turkey Meatballs Marsala Sauce,
"Friday, March 8, 2019",Dinner,5 Cheese Tortellini with Spinach & Mushroom,
"Friday, March 8, 2019",Dinner,Beyond Burger,
"Friday, March 8, 2019",Dinner,Tater Tots,
"Friday, March 8, 2019",Dinner,Sauteed Peas and Mushrooms,
"Friday, March 8, 2019",Dinner,Steamed Carrots,
"Friday, March 8, 2019",Dinner,Brioche Rolls,
"Friday, March 8, 2019",Dinner,Seasoned Edamame Beans,
"Friday, March 8, 2019",Dinner,Angel Cake,
"Friday, March 8, 2019",Dinner,Fresh Black Berries,
"Friday, March 8, 2019",Dinner,Fresh Blueberries,
"Friday, March 8, 2019",Dinner,Fresh Driscoll Strawberries,
"Friday, March 8, 2019",Dinner,Pound Cake,
"Friday, March 8, 2019",Dinner,Whipped Topping,
"Friday, March 8, 2019",Lunch,Basil Chicken Pizza,
"Friday, March 8, 2019",Lunch,Red's Best Fresh Catch,
"Friday, March 8, 2019",Lunch,Grilled Chickpea Cakes with Pineapple Salsa,
"Friday, March 8, 2019",Lunch,"Couscous with Chickpeas, Cranberries and Cilantro",
"Friday, March 8, 2019",Lunch,Saute Vegetable Medley,
"Friday, March 8, 2019",Lunch,Steamed Green Peas,
"Friday, March 8, 2019",Lunch,Boston Baked Beans,
"Friday, March 8, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Friday, March 8, 2019",Breakfast,Sliced Ham,
"Friday, March 8, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Friday, March 8, 2019",Breakfast,Cheddar Cheese,
"Friday, March 8, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Friday, March 8, 2019",Breakfast,Hummus,
"Friday, March 8, 2019",Breakfast,Cinnamon Roll,
"Friday, March 8, 2019",Breakfast,Blueberries,
"Friday, March 8, 2019",Breakfast,Malted Belgian Waffles,
"Friday, March 8, 2019",Breakfast,Multi-Grain Waffles,
"Friday, March 8, 2019",Breakfast,Pancake Syrup,
"Friday, March 8, 2019",Breakfast,Steel Cut Oatmeal,
"Friday, March 8, 2019",Breakfast,Strawberry Sauce,
"Friday, March 8, 2019",Breakfast,Whipped Topping,
"Thursday, March 7, 2019",Dinner,"Molasses, Soy Glazed Pork Loin with Sesame Seeds",
"Thursday, March 7, 2019",Dinner,Teriyaki Chicken with Scallions and Garlic,
"Thursday, March 7, 2019",Dinner,Vegetable Potsticker,
"Thursday, March 7, 2019",Dinner,Vegetable Lo Mein with Teriyaki Glaze,
"Thursday, March 7, 2019",Dinner,Roasted Broccoli with Orange Zest,
"Thursday, March 7, 2019",Dinner,Steamed Butternut Squash,
"Thursday, March 7, 2019",Dinner,Sweet & Sour Garbanzo Beans,
"Thursday, March 7, 2019",Lunch,American Style Beef Stroganoff,
"Thursday, March 7, 2019",Lunch,Crispy Flounder with Daikon Sauce,
"Thursday, March 7, 2019",Lunch,Grilled 3 Cheese Sandwich,
"Thursday, March 7, 2019",Lunch,Egg Twist Noodles,
"Thursday, March 7, 2019",Lunch,Roasted Peppered Turnips,
"Thursday, March 7, 2019",Lunch,Stir-Fried Green Beans,
"Thursday, March 7, 2019",Lunch,Asian Rice & Beans,
"Thursday, March 7, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Thursday, March 7, 2019",Breakfast,Sliced Ham,
"Thursday, March 7, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Thursday, March 7, 2019",Breakfast,Cheddar Cheese,
"Thursday, March 7, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Thursday, March 7, 2019",Breakfast,Hummus,
"Thursday, March 7, 2019",Breakfast,Spinach and Mushroom Quiche,
"Thursday, March 7, 2019",Breakfast,Cranberry Orange Muffin,
"Thursday, March 7, 2019",Breakfast,Blueberries,
"Thursday, March 7, 2019",Breakfast,Malted Belgian Waffles,
"Thursday, March 7, 2019",Breakfast,Multi-Grain Waffles,
"Thursday, March 7, 2019",Breakfast,Pancake Syrup,
"Thursday, March 7, 2019",Breakfast,Steel Cut Oatmeal,
"Thursday, March 7, 2019",Breakfast,Strawberry Sauce,
"Thursday, March 7, 2019",Breakfast,Whipped Topping,
"Wednesday, March 6, 2019",Dinner,Chicken with Green Curry Sauce,
"Wednesday, March 6, 2019",Dinner,Red's Best Fresh Catch,
"Wednesday, March 6, 2019",Dinner,Cajun Black Bean Cakes with Corn Salsa,
"Wednesday, March 6, 2019",Dinner,Plantains,
"Wednesday, March 6, 2019",Dinner,Steamed Snowpeas,
"Wednesday, March 6, 2019",Dinner,Succotash with Edamame,
"Wednesday, March 6, 2019",Dinner,Caribbean Beans with Salsa,
"Wednesday, March 6, 2019",Dinner,Baguette,
"Wednesday, March 6, 2019",Dinner,Bread and Butter Pickles,
"Wednesday, March 6, 2019",Dinner,Giardiniera Pickles,
"Wednesday, March 6, 2019",Dinner,Pickled Beets,
"Wednesday, March 6, 2019",Dinner,Sliced Genoa Salami,
"Wednesday, March 6, 2019",Dinner,Sliced Mortadella,
"Wednesday, March 6, 2019",Dinner,Sliced Proscuitto,
"Wednesday, March 6, 2019",Dinner,Sweet Gherkin Pickle,
"Wednesday, March 6, 2019",Lunch,Chicken and Cheese Enchiladas,
"Wednesday, March 6, 2019",Lunch,Dan Dan Noodles,
"Wednesday, March 6, 2019",Lunch,Kale & Goat Cheese Multigrain Pizza w/Balsamic Drizzle,
"Wednesday, March 6, 2019",Lunch,Mexican Rice,
"Wednesday, March 6, 2019",Lunch,Saut�ed Zucchini,
"Wednesday, March 6, 2019",Lunch,Steamed Vegetable Medley,
"Wednesday, March 6, 2019",Lunch,Spicy Black Beans,
"Wednesday, March 6, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Wednesday, March 6, 2019",Breakfast,Sliced Ham,
"Wednesday, March 6, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Wednesday, March 6, 2019",Breakfast,Cheddar Cheese,
"Wednesday, March 6, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Wednesday, March 6, 2019",Breakfast,Hummus,
"Wednesday, March 6, 2019",Breakfast,Blueberry Scone,
"Wednesday, March 6, 2019",Breakfast,Blueberries,
"Wednesday, March 6, 2019",Breakfast,Malted Belgian Waffles,
"Wednesday, March 6, 2019",Breakfast,Multi-Grain Waffles,
"Wednesday, March 6, 2019",Breakfast,Pancake Syrup,
"Wednesday, March 6, 2019",Breakfast,Steel Cut Oatmeal,
"Wednesday, March 6, 2019",Breakfast,Strawberry Sauce,
"Wednesday, March 6, 2019",Breakfast,Whipped Topping,
"Tuesday, March 5, 2019",Dinner,Herb Roasted Chicken,
"Tuesday, March 5, 2019",Dinner,Seared Honey-Ginger Salmon,
"Tuesday, March 5, 2019",Dinner,"Penne with Roasted Cauliflower, Kale and White Bean",
"Tuesday, March 5, 2019",Dinner,Roasted Russet Potato Wedges,
"Tuesday, March 5, 2019",Dinner,Roasted Parsnips,
"Tuesday, March 5, 2019",Dinner,Steamed Broccoli,
"Tuesday, March 5, 2019",Dinner,Great Northern White Beans in Tomato Dill Sauce,
"Tuesday, March 5, 2019",Dinner,BBQ Beef,
"Tuesday, March 5, 2019",Dinner,BBQ Korean Tofu,
"Tuesday, March 5, 2019",Dinner,Chopped Scallions,
"Tuesday, March 5, 2019",Dinner,Kimchee,
"Tuesday, March 5, 2019",Dinner,Korean Pickled Cucumber,
"Tuesday, March 5, 2019",Dinner,Leaf Lettuce,
"Tuesday, March 5, 2019",Dinner,Ssamjang Sauce,
"Tuesday, March 5, 2019",Dinner,Sticky Rice,
"Tuesday, March 5, 2019",Lunch,Chicken Tikka Masala,
"Tuesday, March 5, 2019",Lunch,Pork Dumplings,
"Tuesday, March 5, 2019",Lunch,Hummus Florentine Sandwich,
"Tuesday, March 5, 2019",Lunch,Basmati Rice,
"Tuesday, March 5, 2019",Lunch,Sauteed Kale with Miso Dressing,
"Tuesday, March 5, 2019",Lunch,Steamed Carrots,
"Tuesday, March 5, 2019",Lunch,Applaloosa Beans,
"Tuesday, March 5, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Tuesday, March 5, 2019",Breakfast,Sliced Ham,
"Tuesday, March 5, 2019",Breakfast,Broccoli Onion & Cheese Frittata,
"Tuesday, March 5, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Tuesday, March 5, 2019",Breakfast,Cheddar Cheese,
"Tuesday, March 5, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Tuesday, March 5, 2019",Breakfast,Hummus,
"Tuesday, March 5, 2019",Breakfast,Whole Wheat Chocolate Muffin,
"Tuesday, March 5, 2019",Breakfast,Blueberries,
"Tuesday, March 5, 2019",Breakfast,Malted Belgian Waffles,
"Tuesday, March 5, 2019",Breakfast,Multi-Grain Waffles,
"Tuesday, March 5, 2019",Breakfast,Pancake Syrup,
"Tuesday, March 5, 2019",Breakfast,Steel Cut Oatmeal,
"Tuesday, March 5, 2019",Breakfast,Strawberry Sauce,
"Tuesday, March 5, 2019",Breakfast,Whipped Topping,
"Monday, March 4, 2019",Dinner,Beef Stew,
"Monday, March 4, 2019",Dinner,Shrimp with Fettucini,
"Monday, March 4, 2019",Dinner,Ultra Grain Penne with Wild Mushroom Ragout,
"Monday, March 4, 2019",Dinner,Barley Risotto,
"Monday, March 4, 2019",Dinner,Maple Roasted Butternut Squash,
"Monday, March 4, 2019",Dinner,Steamed Corn,
"Monday, March 4, 2019",Dinner,Baked Beans Calcutta,
"Monday, March 4, 2019",Dinner,Chopped Scallions,
"Monday, March 4, 2019",Dinner,Diced Red Onions,
"Monday, March 4, 2019",Dinner,Goat Cheese,
"Monday, March 4, 2019",Dinner,Pomegranate Dressing,
"Monday, March 4, 2019",Dinner,Red Quinoa,
"Monday, March 4, 2019",Dinner,Roasted Butternut Squash,
"Monday, March 4, 2019",Dinner,Sauteed Kale,
"Monday, March 4, 2019",Dinner,Seasoned Edamame Beans,
"Monday, March 4, 2019",Lunch,Popcorn Chicken,
"Monday, March 4, 2019",Lunch,Tomato Beef Macaroni,
"Monday, March 4, 2019",Lunch,Tofu Scramble with Corn and Black Beans,
"Monday, March 4, 2019",Lunch,French Fries,
"Monday, March 4, 2019",Lunch,Sauteed Button Mushrooms,
"Monday, March 4, 2019",Lunch,Steamed Broccoli,
"Monday, March 4, 2019",Lunch,Duck Sauce,
"Monday, March 4, 2019",Lunch,Honey Mustard Sauce,
"Monday, March 4, 2019",Lunch,Sweet Honey BBQ Sauce,
"Monday, March 4, 2019",Lunch,Mediterranean Split Pea,
"Monday, March 4, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Monday, March 4, 2019",Breakfast,Sliced Ham,
"Monday, March 4, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Monday, March 4, 2019",Breakfast,Cheddar Cheese,
"Monday, March 4, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Monday, March 4, 2019",Breakfast,Hummus,
"Monday, March 4, 2019",Breakfast,Assorted Mini Danish,
"Monday, March 4, 2019",Breakfast,Blueberries,
"Monday, March 4, 2019",Breakfast,Malted Belgian Waffles,
"Monday, March 4, 2019",Breakfast,Multi-Grain Waffles,
"Monday, March 4, 2019",Breakfast,Pancake Syrup,
"Monday, March 4, 2019",Breakfast,Steel Cut Oatmeal,
"Monday, March 4, 2019",Breakfast,Strawberry Sauce,
"Monday, March 4, 2019",Breakfast,Whipped Topping,
"Sunday, March 3, 2019",Dinner,Mesquite Rotisserie Chicken,
"Sunday, March 3, 2019",Dinner,Turmeric Haddock with Rice Noodles Scallions & Dill,
"Sunday, March 3, 2019",Dinner,Eggplant Parmesan,
"Sunday, March 3, 2019",Dinner,Scalloped Potatoes,
"Sunday, March 3, 2019",Dinner,Sauteed Mixed Fresh Vegetables,
"Sunday, March 3, 2019",Dinner,Steamed Swiss Chard,
"Sunday, March 3, 2019",Dinner,Wheatberries and White Beans,
"Sunday, March 3, 2019",Dinner,Banana,
"Sunday, March 3, 2019",Dinner,Butterscotch Topping,
"Sunday, March 3, 2019",Dinner,Caramel Dessert Sauce,
"Sunday, March 3, 2019",Dinner,Chocolate Chips,
"Sunday, March 3, 2019",Dinner,Hot Fudge,
"Sunday, March 3, 2019",Dinner,Lactaid Ice Cream,
"Sunday, March 3, 2019",Dinner,Maraschino Cherry Halves,
"Sunday, March 3, 2019",Dinner,Rainbow Jimmies,
"Sunday, March 3, 2019",Dinner,Richardson's Ice Cream,
"Sunday, March 3, 2019",Dinner,Whipped Topping,
"Sunday, March 3, 2019",Dinner,Baguette,
"Sunday, March 3, 2019",Dinner,White Round Country Loaf,
"Sunday, March 3, 2019",Dinner,Whole Grain Bread,
"Sunday, March 3, 2019",Lunch,Assorted Bagels,
"Sunday, March 3, 2019",Lunch,Bacon,
"Sunday, March 3, 2019",Lunch,Chicken Breast Stuffed with Broccoli & Swiss Cheese,
"Sunday, March 3, 2019",Lunch,French Toast,
"Sunday, March 3, 2019",Lunch,"Fruit, Grapefruit",
"Sunday, March 3, 2019",Lunch,Garden Cream Cheese,
"Sunday, March 3, 2019",Lunch,Harvard Fruit Salad,
"Sunday, March 3, 2019",Lunch,"Mushroom, Onion & Cheese Frittata",
"Sunday, March 3, 2019",Lunch,Peach Melba Tea Bread,
"Sunday, March 3, 2019",Lunch,Scrambled Cage Free Eggs,
"Sunday, March 3, 2019",Lunch,Smoked Salmon Platter,
"Sunday, March 3, 2019",Lunch,Steamed Whole Green Beans,
"Sunday, March 3, 2019",Lunch,Strawberry Cream Cheese,
"Sunday, March 3, 2019",Lunch,Sweet Potato Hashbrowns,
"Sunday, March 3, 2019",Lunch,Blueberries,
"Sunday, March 3, 2019",Lunch,Malted Belgian Waffles,
"Sunday, March 3, 2019",Lunch,Multi-Grain Waffles,
"Sunday, March 3, 2019",Lunch,Pancake Syrup,
"Sunday, March 3, 2019",Lunch,Steel Cut Oatmeal,
"Sunday, March 3, 2019",Lunch,Strawberry Sauce,
"Sunday, March 3, 2019",Lunch,Whipped Topping,
"Saturday, March 2, 2019",Dinner,Cider Roasted Pork Loin,
"Saturday, March 2, 2019",Dinner,Herb Roasted Chicken with Cacciatore Sauce,
"Saturday, March 2, 2019",Dinner,"Ultragrain Rotini Spinach, Chick Peas & Garlic",
"Saturday, March 2, 2019",Dinner,Bulgur Wheat Pilaf,
"Saturday, March 2, 2019",Dinner,Sauteed Red Cabbage with Apples,
"Saturday, March 2, 2019",Dinner,Steamed Whole Green Beans,
"Saturday, March 2, 2019",Dinner,Cilantro,
"Saturday, March 2, 2019",Dinner,Crumbled Chorizo Sausage,
"Saturday, March 2, 2019",Dinner,"Dressing, Blue Cheese",
"Saturday, March 2, 2019",Dinner,Nacho Cheese Sauce,
"Saturday, March 2, 2019",Dinner,Pico De Gallo Sauce,
"Saturday, March 2, 2019",Dinner,Roasted Corn & Black Beans,
"Saturday, March 2, 2019",Dinner,Sliced Jalapeno Peppers,
"Saturday, March 2, 2019",Dinner,Sweet Potato  Tots,
"Saturday, March 2, 2019",Dinner,Tater Tots,
"Saturday, March 2, 2019",Dinner,Vegetarian Taco Crumbles,
"Saturday, March 2, 2019",Dinner,Western Style Guacamole,
"Saturday, March 2, 2019",Lunch,Basil Pesto Roasted Chicken,
"Saturday, March 2, 2019",Lunch,Denver Breakfast Sandwich with Ham,
"Saturday, March 2, 2019",Lunch,Pepperoni Pizza,
"Saturday, March 2, 2019",Lunch,Cheese Pizza,
"Saturday, March 2, 2019",Lunch,Tater Tots,
"Saturday, March 2, 2019",Lunch,Ratatouille,
"Saturday, March 2, 2019",Lunch,Steamed Corn,
"Saturday, March 2, 2019",Lunch,White Bean Ragout,
"Saturday, March 2, 2019",Lunch,Cage-Free Egg Whites,
"Saturday, March 2, 2019",Lunch,Diced Fresh Tomatoes,
"Saturday, March 2, 2019",Lunch,Diced Onions,
"Saturday, March 2, 2019",Lunch,Diced Peppers,
"Saturday, March 2, 2019",Lunch,Scrambled Cage Free Eggs,
"Saturday, March 2, 2019",Lunch,Shredded Yellow Cheddar Cheese,
"Saturday, March 2, 2019",Lunch,Sliced Mushrooms,
"Saturday, March 2, 2019",Breakfast,Turkey Sausage,
"Saturday, March 2, 2019",Breakfast,Cage Free Eggs Cooked to Order,
"Saturday, March 2, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Saturday, March 2, 2019",Breakfast,Scrambled Cage Free Eggs,
"Saturday, March 2, 2019",Breakfast,Corn Muffin,
"Saturday, March 2, 2019",Breakfast,Blueberries,
"Saturday, March 2, 2019",Breakfast,Malted Belgian Waffles,
"Saturday, March 2, 2019",Breakfast,Multi-Grain Waffles,
"Saturday, March 2, 2019",Breakfast,Pancake Syrup,
"Saturday, March 2, 2019",Breakfast,Steel Cut Oatmeal,
"Saturday, March 2, 2019",Breakfast,Strawberry Sauce,
"Saturday, March 2, 2019",Breakfast,Whipped Topping,
"Friday, March 1, 2019",Dinner,Citrus & Cilantro Marinated Pork,
"Friday, March 1, 2019",Dinner,Turkey Burger,
"Friday, March 1, 2019",Dinner,Vegetable Pot Pie with Biscuits,
"Friday, March 1, 2019",Dinner,Mashed Potatoes,
"Friday, March 1, 2019",Dinner,Sauteed Cajun Cabbage,
"Friday, March 1, 2019",Dinner,Steamed Vegetable Medley,
"Friday, March 1, 2019",Dinner,Brioche Rolls,
"Friday, March 1, 2019",Dinner,Black-Eyed Pea and Peppers,
"Friday, March 1, 2019",Dinner,Cannoli Filling,
"Friday, March 1, 2019",Dinner,Cannoli Shells,
"Friday, March 1, 2019",Dinner,Caramel Dessert Sauce,
"Friday, March 1, 2019",Dinner,Chocolate Chips,
"Friday, March 1, 2019",Dinner,Chocolate Sauce,
"Friday, March 1, 2019",Dinner,Confectionary Sugar,
"Friday, March 1, 2019",Dinner,Oreo Cookie Crumb Topping,
"Friday, March 1, 2019",Lunch,Chicken Vindaloo,
"Friday, March 1, 2019",Lunch,Red's Best Fresh Catch,
"Friday, March 1, 2019",Lunch,"Roasted Vegetable Panini made with Eggplant, Pepper & Squash",
"Friday, March 1, 2019",Lunch,Basmati Rice,
"Friday, March 1, 2019",Lunch,Broccoli Parmesan,
"Friday, March 1, 2019",Lunch,Steamed Green Peas,
"Friday, March 1, 2019",Lunch,Baked Cowboy Beans,
"Friday, March 1, 2019",Breakfast,Roasted Low-Sodium Turkey,
"Friday, March 1, 2019",Breakfast,Sliced Ham,
"Friday, March 1, 2019",Breakfast,Cage Free Hard Boiled Eggs,
"Friday, March 1, 2019",Breakfast,Cheddar Cheese,
"Friday, March 1, 2019",Breakfast,Hard Cooked Eggs - Cage Free,
"Friday, March 1, 2019",Breakfast,Hummus,
"Friday, March 1, 2019",Breakfast,Cinnamon Roll,
"Friday, March 1, 2019",Breakfast,Blueberries,
"Friday, March 1, 2019",Breakfast,Malted Belgian Waffles,
"Friday, March 1, 2019",Breakfast,Multi-Grain Waffles,
"Friday, March 1, 2019",Breakfast,Pancake Syrup,
"Friday, March 1, 2019",Breakfast,Steel Cut Oatmeal,
"Friday, March 1, 2019",Breakfast,Strawberry Sauce,
"Friday, March 1, 2019",Breakfast,Whipped Topping,
"Thursday, February 28, 2019",Dinner,"Fettucine with Chicken, Spinach & Sundried Tomato",
"Thursday, February 28, 2019",Dinner,Fried Calamari RI Style,
"Thursday, February 28, 2019",Dinner,Black Eyed Pea Paella,
"Thursday, February 28, 2019",Dinner,"Quinoa, Tomatoes and Scallion",
"Thursday, February 28, 2019",Dinner,Herbed Mushrooms with Wine Sauce,
"Thursday, February 28, 2019",Dinner,Steamed Cauliflower,
"Thursday, February 28, 2019",Dinner,Green Lentils and Sage,
"Thursday, February 28, 2019",Lunch,BBQ Pulled Pork,
"Thursday, February 28, 2019",Lunch,Beef Meatballs in Marinara Sauce,
"Thursday, February 28, 2019",Lunch,Spicy Nacho Grilled Cheese Sandwich,
"Thursday, February 28, 2019",Lunch,"Vegan ""Meat""balls",
"Thursday, February 28, 2019",Lunch,Barilla Plus Spaghetti in Sauce,
"Thursday, February 28, 2019",Lunch,Sweet Potato Fries,
